Claim_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Income,Location_City,Location_State,Location_Zipcode,Policy_Number,Policy_Type,Policy_Start_Date,Policy_End_Date,Policy_Premium,Agent_ID,Agent_Name,Claim_Date,Claim_Amount,Claim_Status,Claim_Reason,Previous_Claims,Accident_Type,Fraud_Flag,Policy_Age_Days,Days_Since_Policy_Start,Customer_Lifetime_Days,Claim_to_Premium_Ratio,Premium_to_Claim_Ratio,Claim_Frequency,Customer_Value_Index,Indicator_Claim_Before_Policy,Indicator_Recent_Policy_High_Claim,Indicator_Claim_Exceeds_Premium,Indicator_Extreme_Claim,Indicator_Repeat_Claimant,Risk_Score,Customer_Segment,Rule_Fraud,ML_IsoForest,ML_LOF,ML_DBSCAN,ML_OCSVM,Fraud_Probability,Fraud_Risk_Score,Suspicious_Flag
CLM00018,C00591,Elizabeth Moore,57.0,Female,35583.12700057955,Chicago,IL,60601,P00868,Auto,2023-09-02,2024-09-01,45508.0,A009,Agent Jessica Jackson,2024-07-27,63250.0,Rejected,Theft,0,Theft,0,329,329,365,1.3898655181506547,0.7194940711462451,2,21.20527025810454,0,0,1,1,0,25,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00019,C00420,Joseph Lopez,48.0,Male,20806.59752240449,New York,NY,10001,P00900,Home,2024-08-15,2025-08-15,7930.0,A018,Agent Charles Thomas,2024-11-23,51585.0,Pending,Fire,0,Fire,0,100,100,365,6.505044136191677,0.1537268585829214,6,18.92143372466252,0,0,1,1,0,25,High Fraud Risk,0,1,1,0,1,0.5,50,1
CLM00020,C00623,Robert Johnson,25.0,Male,63937.22471738247,Chicago,IL,60601,P00823,Health,2022-04-23,2023-04-23,34102.0,A042,Agent Linda Wilson,2022-08-09,180197.0,Rejected,Medical Procedure,6,Medical Treatment,1,108,108,365,5.284059585948039,0.1892484336587179,4,19.55685818392245,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00021,C00506,Nancy Williams,56.0,Female,63427.36562379941,Chicago,IL,60601,P01131,Auto,2022-04-14,2023-04-14,32007.0,A005,Agent Nancy Anderson,2022-11-25,11750.0,Pending,Natural Disaster,3,Single Vehicle,0,225,225,365,0.3671071953010279,2.724,3,20.04506623045276,0,0,0,0,1,20,At Risk,0,0,0,0,0,0.0,0,0
CLM00022,C00018,Charles Rodriguez,43.0,Male,53977.92608821423,Chicago,IL,60601,P00293,Auto,2025-09-01,2026-09-01,40116.0,A066,Agent Karen Rodriguez,2025-11-28,194414.0,Rejected,Collision,4,Multi Vehicle,0,88,88,365,4.846295742347193,0.2063431645869124,4,19.88642309191355,0,0,1,1,1,35,VIP,0,0,0,0,0,0.0,0,0
CLM00023,C00615,Richard Brown,22.0,Female,45603.11583210582,Houston,TX,77001,P01079,Health,2023-12-02,2024-12-01,28958.0,A015,Agent Linda Anderson,2024-08-10,302517.0,Pending,Medical Procedure,3,Medical Treatment,0,252,252,365,10.446750466192416,0.0957235461147638,2,19.615038748070017,0,0,1,1,1,45,High Value,0,0,0,0,0,0.0,0,0
CLM00024,C00183,John Rodriguez,38.0,Male,81142.44452437831,Houston,TX,77001,P00912,Auto,2021-11-27,2022-11-27,71400.0,A050,Agent Mary Martinez,2022-09-12,211871.0,Approved,Natural Disaster,6,Single Vehicle,0,289,289,365,2.967380952380952,0.3369975126374067,3,20.53410446402876,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00025,C00656,Charles Martin,50.0,Male,24739.19689274532,Chicago,IL,60601,P00489,Auto,2021-10-04,2022-10-04,42459.0,A071,Agent Susan Garcia,2022-01-20,311925.0,Pending,Natural Disaster,5,Single Vehicle,1,108,108,365,7.34649897548223,0.1361192594373647,3,18.980678903411693,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00026,C00690,Karen Taylor,49.0,Male,52298.35439167367,Chicago,IL,60601,P00213,Auto,2022-09-08,2023-09-08,6184.0,A005,Agent Richard Thomas,2023-08-10,124519.0,Approved,Collision,3,Multi Vehicle,1,336,336,365,20.135672703751617,0.0496631036227403,4,18.208146426287087,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00027,C00628,John Brown,34.0,Female,72233.52577681736,Los Angeles,CA,90001,P00090,Auto,2025-01-09,2026-01-09,47781.0,A018,Agent Elizabeth Johnson,2025-07-15,323156.0,Pending,Collision,6,Multi Vehicle,0,187,187,365,6.763274104769678,0.1478573815742242,1,20.016132765937748,0,0,1,1,1,25,Regular,0,0,0,0,0,0.0,0,0
CLM00028,C00139,Elizabeth Jackson,60.0,Male,78625.60238232397,Houston,TX,77001,P00611,Auto,2024-12-25,2025-12-25,37683.0,A049,Agent Sarah Williams,2025-03-08,200533.0,Pending,Collision,3,Multi Vehicle,1,73,73,365,5.321577369105432,0.1879142086339904,5,20.42312263901932,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00029,C00245,Karen Jones,32.0,Male,53815.75248297571,New York,NY,10001,P00197,Auto,2024-12-29,2025-12-29,30779.0,A047,Agent Karen Garcia,2025-09-28,175813.0,Rejected,Collision,5,Multi Vehicle,1,273,273,365,5.712108905422529,0.1750666901764943,4,19.4361499530049,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00030,C00216,William Taylor,49.0,Female,79510.90254244718,Houston,TX,77001,P00909,Auto,2022-11-29,2023-11-29,42968.0,A031,Agent Karen Miller,2023-04-16,66558.0,Pending,Collision,6,Multi Vehicle,0,138,138,365,1.549013219139825,0.6455722828209982,3,20.00595021471736,0,0,1,1,1,35,High Value,0,0,0,0,0,0.0,0,0
CLM00031,C00412,Barbara Gonzalez,37.0,Female,56286.82046672366,New York,NY,10001,P00385,Health,2023-11-19,2024-11-18,41847.0,A071,Agent Charles Anderson,2024-07-30,290634.0,Rejected,Medical Procedure,3,Medical Treatment,0,254,254,365,6.945157358950462,0.1439852185222651,5,20.19369672133239,0,0,1,1,1,35,VIP,0,0,0,0,0,0.0,0,0
CLM00032,C00461,Mary Davis,28.0,Male,36075.86751838659,New York,NY,10001,P00183,Auto,2023-05-02,2024-05-01,45602.0,A059,Agent Richard Smith,2023-07-03,174921.0,Approved,Theft,1,Theft,0,62,62,365,3.835818604447173,0.2607005448173747,2,20.52793910583221,0,0,1,1,0,25,At Risk,0,0,0,0,0,0.0,0,0
CLM00033,C00678,Christopher Moore,57.0,Male,87124.80057141646,New York,NY,10001,P00400,Auto,2024-05-04,2025-05-04,75459.0,A075,Agent Elizabeth Smith,2025-03-31,322508.0,Pending,Natural Disaster,5,Single Vehicle,0,331,331,365,4.2739500921029965,0.2339755913031614,4,20.814682132127427,0,0,1,1,1,35,VIP,0,0,0,0,0,0.0,0,0
CLM00034,C00577,Robert Johnson,43.0,Male,80070.65795784048,New York,NY,10001,P00800,Auto,2022-05-22,2023-05-22,65351.0,A023,Agent Jane Hernandez,2022-07-25,133866.0,Pending,Theft,7,Theft,1,64,64,365,2.048415479487689,0.4881822120628091,4,20.298751229318924,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00035,C00155,Robert Taylor,50.0,Male,47097.60490789751,Los Angeles,CA,90001,P00049,Auto,2023-09-22,2024-09-21,25964.0,A002,Agent Sarah Miller,2024-03-12,222480.0,Rejected,Theft,0,Theft,0,172,172,365,8.56878755199507,0.1167026249550521,1,20.9244436704703,0,0,1,1,0,15,Dormant,0,0,0,0,0,0.0,0,0
CLM00036,C00160,Karen Jones,50.0,Female,90760.7313293194,New York,NY,10001,P01152,Health,2022-03-27,2023-03-27,51412.0,A059,Agent Sarah Wilson,2022-08-28,115751.0,Approved,Medical Procedure,4,Medical Treatment,0,154,154,365,2.251439352680308,0.4441603096301544,4,20.654170972566146,0,0,1,1,1,35,High Value,0,0,0,0,0,0.0,0,0
CLM00037,C00499,David Brown,44.0,Male,91292.87311628013,New York,NY,10001,P00046,Auto,2024-04-01,2025-04-01,42069.0,A026,Agent Susan Wilson,2024-12-07,59079.0,Approved,Property Damage,1,Single Vehicle,0,250,250,365,1.4043357341510376,0.7120804346722186,5,21.37574722982913,0,0,1,1,0,25,VIP,0,0,0,0,0,0.0,0,0
CLM00038,C00640,Jessica Anderson,18.0,Male,76438.05008750448,Houston,TX,77001,P00253,Home,2022-01-31,2023-01-31,73586.0,A004,Agent Mary Johnson,2023-01-30,81303.0,Rejected,Fire,4,Fire,0,364,364,365,1.104870491669611,0.9050834532551074,4,20.84100804665638,0,0,1,1,1,45,High Fraud Risk,0,0,0,0,1,0.15,15,0
CLM00039,C00349,Joseph Hernandez,46.0,Male,54019.85299068265,Los Angeles,CA,90001,P00933,Health,2024-07-18,2025-07-18,25088.0,A061,Agent David Miller,2024-12-22,101776.0,Approved,Medical Procedure,2,Medical Treatment,0,157,157,365,4.056760204081633,0.2465021223078132,7,19.9286395426517,0,0,1,1,0,25,VIP,0,0,0,0,0,0.0,0,0
CLM00040,C00637,Karen Anderson,46.0,Male,20248.62170798214,Houston,TX,77001,P00458,Auto,2024-10-10,2025-10-10,16017.0,A057,Agent Linda Rodriguez,2025-06-13,54070.0,Pending,Theft,6,Theft,0,246,246,365,3.375788225010926,0.2962271130016645,2,17.651337816111347,0,0,1,1,1,35,Regular,0,1,0,0,0,0.2,20,0
CLM00041,C00538,Thomas Davis,41.0,Male,67142.25143023493,Houston,TX,77001,P00433,Health,2022-04-10,2023-04-10,62437.0,A050,Agent Karen Brown,2022-12-22,110609.0,Pending,Medical Procedure,1,Medical Treatment,0,256,256,365,1.771529701939555,0.5644839027565569,3,21.463334950606388,0,0,1,1,0,25,Regular,0,0,0,0,0,0.0,0,0
CLM00042,C00469,Jane Moore,67.0,Male,49634.59563452705,New York,NY,10001,P00804,Home,2025-07-13,2026-07-13,34143.0,A007,Agent Elizabeth Garcia,2025-09-28,214876.0,Pending,Fire,3,Fire,0,77,77,365,6.2934129982719735,0.1588962936763528,3,19.86446186940012,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00043,C00244,Jessica Thomas,32.0,Female,49964.85912830927,Chicago,IL,60601,P01099,Auto,2022-05-19,2023-05-19,77653.0,A049,Agent Joseph Johnson,2022-10-05,249246.0,Pending,Natural Disaster,6,Single Vehicle,0,139,139,365,3.209740769835036,0.3115516397454723,5,20.13317053536408,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00044,C00130,Linda Gonzalez,58.0,Male,66575.02219319368,Chicago,IL,60601,P00125,Home,2024-05-01,2025-05-01,52542.0,A020,Agent William Anderson,2024-12-16,192157.0,Approved,Fire,6,Fire,0,229,229,365,3.6572075672795097,0.273432661833813,5,20.029542725734466,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00045,C00421,Barbara Wilson,37.0,Female,70265.34866226712,Chicago,IL,60601,P00735,Auto,2024-03-12,2025-03-12,64926.0,A066,Agent David Martinez,2024-06-29,182729.0,Pending,Collision,0,Multi Vehicle,0,109,109,365,2.814419492961217,0.3553130592297884,5,22.24103748864586,0,0,1,1,0,25,VIP,0,0,0,0,0,0.0,0,0
CLM00046,C00573,David Johnson,46.0,Male,79372.89981065778,New York,NY,10001,P00750,Auto,2023-02-02,2024-02-02,14620.0,A025,Agent Jane Johnson,2023-08-11,344804.0,Pending,Collision,5,Multi Vehicle,1,190,190,365,23.5844049247606,0.0424009002215751,5,19.080298546012823,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00047,C00310,Christopher Thomas,34.0,Male,53446.75706804464,New York,NY,10001,P00188,Auto,2022-08-28,2023-08-28,44206.0,A054,Agent Charles Williams,2022-10-26,7798.0,Pending,Theft,4,Theft,0,59,59,365,0.1764013934759987,5.668889458835599,5,19.973619137500485,0,0,0,0,1,20,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00048,C00293,Linda Williams,39.0,Male,30729.70103735763,New York,NY,10001,P00067,Auto,2024-07-16,2025-07-16,42278.0,A051,Agent Joseph Brown,2024-12-13,279656.0,Pending,Theft,5,Theft,0,150,150,365,6.614693221060599,0.151178590840175,3,19.19324759695309,0,0,1,1,1,35,High Value,0,0,0,0,0,0.0,0,0
CLM00049,C00499,Christopher Davis,49.0,Male,65221.10544359779,New York,NY,10001,P00229,Auto,2024-07-12,2025-07-12,28578.0,A034,Agent Robert Wilson,2025-06-24,259020.0,Pending,Property Damage,0,Single Vehicle,0,347,347,365,9.063615368465252,0.1103312485522353,5,21.34593086922229,0,0,1,1,0,25,VIP,0,0,0,0,0,0.0,0,0
CLM00050,C00498,Christopher Jackson,45.0,Female,55308.25733249706,Houston,TX,77001,P00209,Auto,2024-08-10,2025-08-10,42930.0,A054,Agent David Hernandez,2025-01-20,228484.0,Approved,Theft,7,Theft,0,163,163,365,5.322245515956208,0.1878906181614467,2,19.50856211812321,0,0,1,1,1,35,High Value,0,0,0,0,0,0.0,0,0
CLM00051,C00529,Elizabeth Rodriguez,23.0,Female,51587.09354469282,New York,NY,10001,P00864,Health,2022-05-06,2023-05-06,61954.0,A028,Agent Barbara Anderson,2022-08-11,141455.0,Rejected,Medical Procedure,1,Medical Treatment,1,97,97,365,2.2832262646479644,0.4379767417199816,2,21.192027068319145,0,0,1,1,0,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00052,C00215,Richard Williams,39.0,Male,43954.45461556762,New York,NY,10001,P00213,Health,2023-12-15,2024-12-14,56493.0,A049,Agent Nancy Jackson,2024-09-04,36627.0,Rejected,Medical Procedure,2,Medical Treatment,0,264,264,365,0.6483458127555627,1.5423867638627242,1,20.53416898261158,0,0,0,0,0,0,Dormant,0,0,0,0,0,0.0,0,0
CLM00053,C00465,Mary Williams,42.0,Male,68081.01713629077,New York,NY,10001,P00541,Home,2024-06-25,2025-06-25,42855.0,A019,Agent William Jones,2025-04-10,79995.0,Pending,Fire,5,Fire,0,289,289,365,1.8666433321666085,0.5357209825614101,2,20.00227183960685,0,0,1,1,1,35,Regular,0,0,0,0,0,0.0,0,0
CLM00054,C00535,Susan Williams,73.0,Male,63491.55625663678,New York,NY,10001,P00906,Auto,2021-07-05,2022-07-05,45779.0,A056,Agent Barbara Garcia,2022-02-09,122743.0,Rejected,Theft,7,Theft,0,219,219,365,2.681207540575373,0.3729662791360811,3,19.71080141444345,0,0,1,1,1,35,At Risk,0,0,0,0,0,0.0,0,0
CLM00055,C00227,Thomas Moore,48.0,Female,58511.08168467665,Chicago,IL,60601,P00003,Home,2021-10-29,2022-10-29,28444.0,A011,Agent Charles Smith,2022-10-07,151572.0,Pending,Fire,4,Fire,0,343,343,365,5.328786387287302,0.1876599899717626,3,19.62322605736114,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00056,C00065,Karen Martinez,18.0,Male,59469.72249101567,New York,NY,10001,P01086,Home,2024-04-11,2025-04-11,6877.0,A049,Agent William Brown,2024-07-18,299355.0,Rejected,Fire,6,Fire,0,98,98,365,43.52988221608259,0.0229727246914198,6,17.88325025370097,0,0,1,1,1,45,High Fraud Risk,0,1,0,1,1,0.44999999999999996,45,0
CLM00057,C00256,Mary Moore,45.0,Male,109264.8422497057,Los Angeles,CA,90001,P00050,Auto,2023-01-27,2024-01-27,71909.0,A004,Agent Barbara Martin,2023-07-15,278045.0,Pending,Collision,6,Multi Vehicle,0,169,169,365,3.866623093075971,0.2586236040928626,1,20.83877652112653,0,0,1,1,1,25,Dormant,0,0,1,0,0,0.15,15,0
CLM00058,C00548,David Hernandez,42.0,Male,66030.94684667225,New York,NY,10001,P00331,Auto,2022-11-15,2023-11-15,17424.0,A028,Agent William Taylor,2023-11-04,179321.0,Pending,Property Damage,7,Single Vehicle,1,354,354,365,10.29160927456382,0.0971665337578978,4,18.78404111317575,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00059,C00332,Sarah Rodriguez,44.0,Male,36626.43924760936,Chicago,IL,60601,P00204,Auto,2022-11-03,2023-11-03,35055.0,A034,Agent Jessica Rodriguez,2023-01-19,280917.0,Approved,Collision,0,Multi Vehicle,0,77,77,365,8.013607188703466,0.1247877486944542,3,20.97319917883024,0,0,1,1,0,25,High Value,0,0,0,0,0,0.0,0,0
CLM00060,C00577,Jane Smith,62.0,Female,75038.66065373548,Houston,TX,77001,P00446,Auto,2023-09-25,2024-09-24,22660.0,A054,Agent William Garcia,2023-12-30,247100.0,Pending,Property Damage,5,Single Vehicle,1,96,96,365,10.90467784642542,0.0917037636584378,4,19.462355803972365,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00061,C00329,Thomas Moore,56.0,Female,41812.25090410523,Houston,TX,77001,P00504,Auto,2021-10-12,2022-10-12,35543.0,A076,Agent John Brown,2022-08-25,58395.0,Pending,Natural Disaster,6,Single Vehicle,0,317,317,365,1.6429395380243648,0.6086651254388218,4,19.173533025133715,0,0,1,1,1,35,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00062,C00124,Robert Jones,66.0,Male,31962.97874415438,Houston,TX,77001,P00317,Home,2023-11-18,2024-11-17,69091.0,A055,Agent Christopher Moore,2024-06-24,283850.0,Rejected,Fire,0,Fire,0,219,219,365,4.108349857434398,0.2434067289061124,2,21.51551335350037,0,0,1,1,0,25,High Fraud Risk,0,0,0,0,1,0.15,15,0
CLM00063,C00632,Michael Wilson,53.0,Male,103809.1125161996,New York,NY,10001,P00848,Auto,2024-03-13,2025-03-13,77077.0,A039,Agent Barbara Lopez,2024-05-03,349544.0,Pending,Theft,6,Theft,0,51,51,365,4.534997470062405,0.2205072894971734,4,20.85695908802254,0,0,1,1,1,35,High Fraud Risk,0,1,1,0,1,0.5,50,1
CLM00064,C00201,Jane Lopez,30.0,Male,48674.04540794456,Los Angeles,CA,90001,P00954,Auto,2024-09-11,2025-09-11,29027.0,A037,Agent Mary Lopez,2025-02-15,94624.0,Pending,Property Damage,1,Single Vehicle,0,157,157,365,3.2598615082509386,0.3067614981400067,4,20.3757357496642,0,0,1,1,0,25,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00065,C00410,Karen Wilson,46.0,Male,49930.48691767602,Houston,TX,77001,P00297,Auto,2025-01-28,2026-01-28,9134.0,A080,Agent Linda Garcia,2025-06-28,165014.0,Pending,Property Damage,0,Single Vehicle,0,151,151,365,18.06590759798555,0.0553528791496479,3,19.938146051391048,0,0,1,1,0,25,High Value,0,0,0,0,0,0.0,0,0
CLM00066,C00500,Jessica Smith,21.0,Male,61371.25949612055,Los Angeles,CA,90001,P00969,Auto,2023-05-24,2024-05-23,44679.0,A051,Agent Jessica Davis,2023-12-10,318051.0,Pending,Property Damage,7,Single Vehicle,0,200,200,365,7.118579198281072,0.1404774705943386,2,19.65251425095792,0,0,1,1,1,45,At Risk,0,0,0,0,0,0.0,0,0
CLM00067,C00399,William Garcia,29.0,Male,69471.84861270363,Los Angeles,CA,90001,P00092,Home,2021-11-23,2022-11-23,38228.0,A023,Agent Jane Thomas,2022-07-06,105817.0,Pending,Fire,1,Fire,0,225,225,365,2.7680495971539187,0.3612652031337119,3,21.00685322414245,0,0,1,1,0,25,High Fraud Risk,0,0,0,0,0,0.0,0,0
CLM00068,C00456,Elizabeth Miller,31.0,Female,90998.6881003508,New York,NY,10001,P00795,Auto,2023-12-07,2024-12-06,11936.0,A022,Agent Barbara Davis,2024-07-03,136780.0,Rejected,Theft,0,Theft,0,209,209,365,11.459450402144771,0.0872642199151922,4,20.805914692279625,0,0,1,1,0,25,High Value,0,0,0,0,0,0.0,0,0
CLM00069,C00369,Elizabeth Smith,33.0,Male,53558.76967588649,New York,NY,10001,P00974,Auto,2022-03-20,2023-03-20,16936.0,A041,Agent Richard Rodriguez,2022-11-09,30107.0,Pending,Property Damage,0,Single Vehicle,0,234,234,365,1.7776924893717525,0.5625269870794167,3,20.62573164250784,0,0,1,0,0,25,Regular,0,0,0,0,0,0.0,0,0
CLM00070,C00167,Robert Rodriguez,57.0,Female,35382.7136713209,Los Angeles,CA,90001,P00427,Auto,2022-04-25,2023-04-25,68778.0,A042,Agent Charles Gonzalez,2023-04-18,216732.0,Pending,Property Damage,0,Single Vehicle,1,358,358,365,3.151182064032103,0.3173412324898954,4,21.612617871242097,0,0,1,1,0,25,High Fraud Risk,0,0,0,0,0,0.0,0,0
